CustomerID,Cluster,Recency,Frequency,Monetary,DAYSSINCELASTORDER,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,AVGDAYSBETWEENORDERS,CHURN,CHURN_PROBABILITY,PREDICTED_CHURN
66216,0,3,2,2,102,3,349.93,116.64,882.67,1,0.7316009848229724,1
76191,0,3,2,2,102,3,307.54,102.51,801.0,1,0.7114743753691725,1
77128,0,3,2,2,101,4,304.12,76.03,583.25,1,0.6897447286507626,1
84847,0,3,2,2,100,5,277.96,55.59,541.0,1,0.6669146531978158,1
47373,0,3,2,2,99,5,461.92,92.38,460.4,1,0.5515140091323558,1
77391,0,3,2,2,98,3,303.08,101.03,836.0,1,0.6633313841179791,1
48869,0,3,2,2,94,5,450.86,90.17,487.2,1,0.6260348494621876,1
49243,0,3,2,2,93,5,448.18,89.64,484.6,1,0.6906675198868567,1
83175,0,3,2,2,92,4,283.13,70.78,660.5,1,0.7735092022836701,1
47855,0,3,2,2,91,3,458.19,152.73,910.33,1,0.5520078479099497,1
65335,0,3,2,2,91,5,353.83,70.77,461.8,1,0.6192877039792578,1
56214,0,3,2,2,90,3,402.48,134.16,870.0,1,0.6400408107640402,1
40967,0,3,2,2,89,4,515.98,129.0,605.5,1,0.5523479093341214,1
42468,0,3,2,2,85,3,501.93,167.31,898.33,0,0.6333590906347595,1
82754,0,3,2,2,85,4,284.89,71.22,648.25,0,0.6789432329898127,1
37740,0,3,2,2,84,3,547.98,182.66,912.0,0,0.6528123062103155,1
58028,0,3,2,2,84,5,391.91,78.38,463.2,0,0.6989457428273861,1
73202,0,3,2,2,82,3,319.93,106.64,803.33,0,0.73223699203869,1
53720,0,3,2,2,81,4,417.99,104.5,609.5,0,0.6305372672429919,1
63896,0,3,2,2,81,3,360.48,120.16,790.67,0,0.7363321812736267,1
65883,0,3,2,2,79,3,350.94,116.98,876.67,0,0.7158381754938021,1
63001,0,3,2,2,76,4,364.98,91.25,619.5,0,0.669823202032816,1
71368,0,3,2,2,76,3,326.68,108.89,811.33,0,0.7271758084593447,1
47949,0,3,2,2,75,3,457.9,152.63,799.67,0,0.5372536099119846,1
65668,0,3,2,2,75,3,351.95,117.32,801.67,0,0.5032513526453416,1
48541,0,3,2,2,74,3,453.48,151.16,787.67,0,0.589714944358601,1
74204,0,3,2,2,74,4,315.13,78.78,644.0,0,0.7501988402112612,1
49259,0,3,2,2,72,4,448.04,112.01,633.0,0,0.5598758941214034,1
72954,0,3,2,2,72,3,320.08,106.69,851.33,0,0.5122541167711834,1
77806,0,3,2,2,71,3,301.53,100.51,802.33,0,0.6227041955679062,1
48460,0,3,2,2,69,4,454.08,113.52,657.5,0,0.6784878973162601,1
59896,0,3,2,2,68,4,381.03,95.26,605.0,0,0.6620454579576478,1
40955,0,3,2,2,64,3,515.99,172.0,838.33,0,0.6201140642412002,1
81548,0,3,2,2,64,5,288.88,57.78,491.2,0,0.7191699811676077,1
29392,0,3,1,3,62,2,653.08,326.54,0.5,0,0.9949031379042738,1
46767,0,3,2,2,60,5,466.18,93.24,536.0,0,0.5999681390276149,1
67802,0,3,2,2,60,5,342.17,68.43,532.0,0,0.7465775263486473,1
69054,0,3,2,2,58,3,336.94,112.31,876.33,0,0.6149226034208641,1
73494,0,3,2,2,58,3,318.59,106.2,826.0,0,0.5187687397819032,1
50196,0,3,2,2,54,5,441.95,88.39,471.2,0,0.6936386589860051,1
86539,0,3,2,2,53,4,272.3,68.08,643.5,0,0.80348729250427,1
43309,0,3,2,2,47,3,494.89,164.96,888.67,0,0.6321000854452514,1
57345,0,3,2,2,45,4,395.93,98.98,598.25,0,0.6167215864738566,1
61867,0,3,2,2,45,3,370.5,123.5,904.33,0,0.517359755681642,1
37621,0,3,2,2,43,4,549.03,137.26,606.25,0,0.641157945541871,1
84319,0,3,2,2,40,5,279.64,55.93,551.0,0,0.5480439206603994,1
46780,0,3,2,2,39,5,466.07,93.21,552.8,0,0.6113588288880045,1
62848,0,3,2,2,38,4,365.59,91.4,605.0,0,0.6279917260991973,1
64317,0,3,2,2,36,3,358.93,119.64,880.67,0,0.734551350204791,1
74709,0,3,2,2,35,3,313.39,104.46,798.33,0,0.5594374224723255,1
79820,0,3,2,2,35,4,294.95,73.74,619.0,0,0.538696775069407,1
8506,0,4,3,3,34,8,1431.02,178.88,345.63,0,0.5049881300461292,1
22215,0,4,3,3,34,9,787.96,87.55,299.44,0,0.5592634378990252,1
131524,0,4,1,1,34,2,175.0,87.5,1213.0,0,0.5252177714739288,1
26870,0,4,3,3,33,6,694.78,115.8,444.5,0,0.5622628375386208,1
100764,0,4,1,1,33,2,232.7,116.35,1264.5,0,0.6395918925151391,1
8119,0,4,3,3,32,8,1469.94,183.74,337.25,0,0.7057425316892477,1
16284,0,4,3,3,32,10,959.66,95.97,279.0,0,0.7261204498097211,1
55735,0,4,3,2,32,7,405.2,57.89,396.86,0,0.6297378555029579,1
9888,0,4,3,3,31,13,1306.98,100.54,35.38,0,0.5295957338773444,1
48338,0,4,2,2,31,3,454.99,151.66,845.67,0,0.5177578461061033,1
49614,0,4,3,2,31,6,445.58,74.26,415.33,0,0.5359537078967411,1
50564,0,4,2,2,30,4,439.39,109.85,654.5,0,0.5129786149983968,1
231122,0,4,1,1,30,2,72.7,36.35,1246.5,0,0.669010629622988,1
15579,0,4,3,3,29,6,987.68,164.61,411.0,0,0.5313160481606047,1
56170,0,4,2,2,29,3,402.94,134.31,869.33,0,0.6488434494435963,1
31136,0,4,3,3,28,8,628.75,78.59,347.75,0,0.5752653840888017,1
49378,0,4,2,2,28,3,447.14,149.05,831.33,0,0.660478114896677,1
66552,0,4,2,2,28,4,348.0,87.0,665.0,0,0.5310951393588326,1
89340,0,4,2,1,28,3,263.98,87.99,860.33,0,0.6550624691964119,1
47540,0,4,3,2,27,6,460.36,76.73,445.17,0,0.6869073324905898,1
69647,0,4,2,2,27,4,334.18,83.55,623.0,0,0.6544530805177116,1
123155,0,4,1,1,27,2,186.14,93.07,1365.5,0,0.7123350634911382,1
32092,0,4,2,3,26,3,615.03,205.01,858.67,0,0.6365839180367585,1
83047,0,4,2,2,26,3,283.95,94.65,882.67,0,0.6512860036979754,1
114335,0,4,1,1,26,2,202.99,101.5,1274.5,0,0.7186847275114718,1
22269,0,4,3,3,25,8,786.91,98.36,316.63,0,0.800206709979674,1
38261,0,4,3,2,25,6,542.64,90.44,418.17,0,0.5959802846170927,1
48231,0,4,3,2,25,6,455.92,75.99,459.67,0,0.7135531969665383,1
70815,0,4,2,2,25,5,329.01,65.8,526.6,0,0.7247836993542921,1
99556,0,4,1,1,25,2,235.95,117.98,1202.0,0,0.7085543777479083,1
136301,0,4,1,1,25,2,166.99,83.5,1296.5,0,0.7325450658377216,1
9907,0,4,3,3,24,13,1305.87,100.45,35.69,0,0.7283017302193258,1
14595,0,4,3,3,24,9,1026.9,114.1,276.78,0,0.6300357982661304,1
27758,0,4,2,3,24,5,679.17,135.83,490.4,0,0.6512536456494277,1
39176,0,4,2,2,24,3,532.99,177.66,915.0,0,0.6059425540557133,1
148830,0,4,1,1,24,2,149.15,74.58,1393.5,0,0.6498120864424287,1
9835,0,4,3,3,23,11,1310.53,119.14,244.0,0,0.5040993447562828,1
17547,0,4,3,3,23,9,916.89,101.88,269.56,0,0.5352077154738858,1
18027,0,4,3,3,23,6,900.99,150.17,432.5,0,0.5120964742761877,1
30751,0,4,2,3,23,5,633.98,126.8,506.6,0,0.5211602609280781,1
29892,0,4,2,3,22,5,646.0,129.2,492.2,0,0.5581426268186185,1
87045,0,4,1,2,22,2,270.95,135.48,1237.0,0,0.6657036622667749,1
32911,0,4,3,3,21,6,604.18,100.7,460.67,0,0.581353683188611,1
72392,0,4,2,2,21,4,322.67,80.67,612.0,0,0.6478517458344956,1
99184,0,4,1,1,21,2,236.65,118.33,1245.5,0,0.5518642523976702,1
22017,0,4,3,3,20,12,793.15,66.1,224.92,0,0.5616205722558291,1
78395,0,4,1,2,20,2,299.95,149.98,1200.0,0,0.6582306480458288,1
117161,0,4,1,1,20,2,198.09,99.05,1296.0,0,0.6276938792675516,1
12996,0,4,3,3,19,6,1103.56,183.93,453.17,0,0.5276133043160499,1
14709,0,4,2,3,19,5,1021.38,204.28,524.6,0,0.5942694798538687,1
33348,0,4,3,3,19,11,598.75,54.43,245.73,0,0.5684632840114601,1
33383,0,4,2,3,19,3,597.99,199.33,800.33,0,0.5343013387866713,1
46081,0,4,2,2,19,3,471.94,157.31,884.0,0,0.6830313815848588,1
55531,0,4,2,2,19,4,406.71,101.68,600.25,0,0.7502411295391468,1
86910,0,4,1,2,19,2,270.99,135.5,1327.5,0,0.6838968728346997,1
132672,0,4,2,1,19,3,173.95,57.98,896.67,0,0.6660310485440232,1
46589,0,4,2,2,18,3,467.74,155.91,897.0,0,0.653074994695021,1
8597,0,4,3,3,17,13,1421.48,109.34,94.23,0,0.5663609143443942,1
47950,0,4,3,2,17,6,457.87,76.31,417.5,0,0.5814024482516172,1
110177,0,4,2,1,17,3,210.99,70.33,826.33,0,0.6406691215352848,1
90004,0,4,2,1,16,4,261.94,65.49,602.25,0,0.5870312928495789,1
103765,0,4,2,1,16,3,225.45,75.15,888.67,0,0.5492883155229713,1
40554,0,4,1,2,15,2,519.98,259.99,1193.5,0,0.5417911868258518,1
41430,0,4,2,2,15,4,511.44,127.86,664.75,0,0.5697359666891664,1
55199,0,4,2,2,15,5,408.89,81.78,476.6,0,0.6249858683897016,1
13164,0,4,3,3,14,9,1096.04,121.78,300.44,0,0.6492289530962273,1
13784,0,4,3,3,14,9,1063.44,118.16,280.0,0,0.5078968470185268,1
33517,0,4,3,3,14,6,596.2,99.37,442.0,0,0.5536664816639653,1
40424,0,4,3,2,14,6,521.16,86.86,407.0,0,0.5686663445657051,1
56560,0,4,2,2,14,5,400.46,80.09,492.8,0,0.6962799855130664,1
62273,0,4,3,2,13,6,368.77,61.46,420.33,0,0.5713650624993752,1
122674,0,4,1,1,13,2,187.44,93.72,1255.0,0,0.7101396007800796,1
125360,0,4,1,1,13,2,182.6,91.3,1251.5,0,0.6609855099224226,1
148645,0,4,2,1,13,3,149.88,49.96,836.67,0,0.6921397983905754,1
34701,0,4,3,3,12,7,581.94,83.13,391.0,0,0.6262220283579831,1
38844,0,4,3,2,12,7,536.95,76.71,366.29,0,0.5490777359530463,1
91665,0,4,2,1,12,3,256.84,85.61,841.33,0,0.6801097372007392,1
92816,0,4,2,1,12,4,253.48,63.37,626.0,0,0.7016105834686303,1
131004,0,4,2,1,12,3,175.1,58.37,882.33,0,0.545104254093075,1
141981,0,4,1,1,12,2,158.95,79.48,1324.5,0,0.6232907893314932,1
38457,0,4,2,2,11,5,540.26,108.05,502.4,0,0.6863874677651673,1
50511,0,4,2,2,11,5,439.76,87.95,549.2,0,0.5557746985246148,1
101590,0,4,2,1,11,3,230.02,76.67,881.33,0,0.77014724274772,1
10644,0,4,3,3,10,13,1251.27,96.25,90.08,0,0.7228079453695395,1
15946,0,4,3,3,10,8,973.01,121.63,309.88,0,0.5305749684054683,1
18448,0,4,3,3,10,10,888.58,88.86,270.9,0,0.5105391169782436,1
37421,0,4,2,2,10,4,551.02,137.76,658.5,0,0.6535197411571221,1
11150,0,4,3,3,9,9,1214.32,134.92,290.56,0,0.633329349261211,1
112092,0,4,2,1,9,5,207.35,41.47,533.2,0,0.5721612657977702,1
23256,0,4,3,3,8,9,765.19,85.02,299.44,0,0.5311007096736904,1
88165,0,4,2,2,8,4,267.52,66.88,678.5,0,0.6357705441871255,1
213033,0,4,1,1,8,2,85.05,42.53,1264.5,0,0.6423724781326431,1
10000,0,4,3,3,7,14,1298.54,92.75,193.21,0,0.5115246117816524,1
72154,0,4,2,2,7,3,323.94,107.98,814.33,0,0.6587115096829584,1
72886,0,4,1,2,7,2,320.5,160.25,1258.0,0,0.5173581261924329,1
8800,0,4,3,3,6,13,1402.41,107.88,207.15,0,0.6247996244801738,1
10235,0,4,3,3,6,11,1281.03,116.46,254.0,0,0.5005058849058239,1
25389,0,4,2,3,6,5,722.95,144.59,24.8,0,0.8873576969707283,1
33831,0,4,3,3,6,7,592.9,84.7,380.14,0,0.6161095052898944,1
40412,0,4,2,2,6,5,521.2,104.24,509.8,0,0.552533968571954,1
61843,0,4,2,2,6,3,370.84,123.61,882.67,0,0.5135625956217241,1
64169,0,4,3,2,6,7,359.55,51.36,382.0,0,0.6102305061434207,1
18317,0,4,3,3,5,13,892.4,68.65,212.62,0,0.5813072143622865,1
38544,0,4,2,2,5,3,539.94,179.98,876.67,0,0.6031838492552455,1
58777,0,4,2,2,5,4,387.73,96.93,629.25,0,0.5194880092094187,1
68395,0,4,2,2,5,3,339.65,113.22,882.0,0,0.5142949506679915,1
8446,0,4,3,3,4,10,1437.7,143.77,280.1,0,0.5607334831035065,1
51407,0,4,3,2,4,7,433.37,61.91,376.86,0,0.6176852426157354,1
112467,0,4,2,1,4,4,206.45,51.61,704.75,0,0.7061674100612266,1
169272,0,4,1,1,4,2,124.94,62.47,1259.0,0,0.7919918544285074,1
38692,0,4,3,2,3,7,538.41,76.92,346.71,0,0.6098536982448477,1
46900,0,4,2,2,3,3,465.33,155.11,835.33,0,0.6122266361291845,1
23670,0,4,3,3,2,8,756.45,94.56,343.25,0,0.5641719420610474,1
69074,0,4,2,2,2,3,336.68,112.23,839.67,0,0.6046229832732105,1
93797,0,4,2,1,2,3,250.75,83.58,840.0,0,0.634550270826554,1
6246,0,5,3,4,1,13,1748.81,134.52,84.85,0,0.7368171488891391,1
6705,0,5,3,4,1,6,1672.6,278.77,219.83,0,0.5676782561034212,1
6946,0,5,3,4,1,14,1633.95,116.71,27.79,0,0.5710003165118892,1
7178,0,5,2,4,1,4,1596.22,399.06,199.25,0,0.5040495345968008,1
7533,0,5,2,4,1,5,1545.98,309.2,139.6,0,0.5450700762716961,1
7779,0,5,4,3,1,15,1510.61,100.71,68.93,0,0.5303193839591454,1
7813,0,5,4,3,1,15,1507.0,100.47,23.0,0,0.59467380701042,1
7979,0,5,3,3,1,12,1487.25,123.94,43.5,0,0.5104888285663284,1
8034,0,5,4,3,1,15,1480.13,98.68,28.8,0,0.6375582953120603,1
8087,0,5,4,3,1,17,1473.48,86.68,28.06,0,0.523095599325963,1
8367,0,5,3,3,1,12,1445.88,120.49,49.83,0,0.6201979490691489,1
9048,0,5,3,3,1,6,1377.96,229.66,348.0,0,0.509107082955294,1
9538,0,5,3,3,1,10,1335.87,133.59,215.8,0,0.6272560054861324,1
10274,0,5,3,3,1,12,1277.51,106.46,185.17,0,0.7419482703309215,1
10724,0,5,4,3,1,15,1245.2,83.01,29.73,0,0.5374126346460159,1
11710,0,5,3,3,1,11,1178.44,107.13,52.09,0,0.5334351151215384,1
12914,0,5,3,3,1,9,1107.34,123.04,22.11,0,0.5115566623226204,1
12924,0,5,3,3,1,9,1106.97,123.0,16.67,0,0.5465592617388831,1
13298,0,5,2,3,1,4,1087.21,271.8,108.0,0,0.5348763659440614,1
14604,0,5,3,3,1,10,1026.03,102.6,52.8,0,0.5210702973231631,1
14826,0,5,3,3,1,10,1017.52,101.75,54.1,0,0.5441986199138337,1
15114,0,5,3,3,1,8,1005.33,125.67,109.38,0,0.5401474836030985,1
15478,0,5,3,3,1,9,991.74,110.19,140.67,0,0.5499529438180277,1
15873,0,5,3,3,1,12,975.37,81.28,49.42,0,0.6580518894632983,1
16147,0,5,2,3,1,5,964.9,192.98,110.8,0,0.5579608739054297,1
16279,0,5,3,3,1,10,959.91,95.99,53.7,0,0.5955824619917679,1
17082,0,5,2,3,1,5,931.97,186.39,240.0,0,0.5671405989917963,1
17345,0,5,3,3,1,10,923.4,92.34,10.3,0,0.5368896425734615,1
17655,0,5,3,3,1,6,912.74,152.12,108.17,0,0.5151853545733284,1
17745,0,5,3,3,1,11,909.75,82.7,66.91,0,0.6377625000267467,1
17774,0,5,3,3,1,10,908.93,90.89,51.4,0,0.5055553126471387,1
18204,0,5,3,3,1,8,895.67,111.96,107.13,0,0.6784997393673486,1
18273,0,5,3,3,1,9,893.76,99.31,78.11,0,0.5615894035320332,1
18293,0,5,3,3,1,7,892.97,127.57,203.43,0,0.5369308269639669,1
18802,0,5,3,3,1,9,878.58,97.62,38.78,0,0.5502406966311627,1
18809,0,5,3,3,1,7,878.36,125.48,140.57,0,0.5109077608041915,1
19736,0,5,3,3,1,11,851.68,77.43,46.0,0,0.5920078274797534,1
19913,0,5,3,3,1,6,846.75,141.13,27.83,0,0.502255957834204,1
20850,0,5,3,3,1,13,821.26,63.17,39.0,0,0.5909353157742633,1
20870,0,5,3,3,1,6,820.96,136.83,195.83,0,0.5349167860778108,1
20898,0,5,3,3,1,10,819.98,82.0,32.5,0,0.5918582177491343,1
21270,0,5,2,3,1,4,810.98,202.75,38.75,0,0.5083937389267601,1
21342,0,5,3,3,1,7,809.1,115.59,76.14,0,0.5042103561865764,1
21743,0,5,3,3,1,8,799.18,99.9,141.5,0,0.5675435656006064,1
21830,0,5,1,3,1,3,797.32,265.77,16.67,0,0.5723549667635542,1
22359,0,5,3,3,1,8,784.69,98.09,163.63,0,0.5078699424241505,1
23307,0,5,3,3,1,13,764.39,58.8,54.0,0,0.568915430420586,1
23332,0,5,3,3,1,7,763.95,109.14,113.71,0,0.5567380157425803,1
24313,0,5,2,3,1,5,743.93,148.79,423.2,0,0.5628407204559942,1
24900,0,5,2,3,1,4,732.22,183.06,96.5,0,0.526316587188722,1
24920,0,5,2,3,1,4,731.97,182.99,126.0,0,0.5017881884645464,1
24958,0,5,3,3,1,6,731.06,121.84,11.5,0,0.5389904200924708,1
25553,0,5,1,3,1,3,719.67,239.89,46.0,0,0.5986056613659076,1
25748,0,5,3,3,1,6,716.0,119.33,83.83,0,0.5992595476554039,1
25812,0,5,2,3,1,5,714.96,142.99,467.6,0,0.6167886849830865,1
26034,0,5,3,3,1,6,710.66,118.44,177.83,0,0.6038426249280514,1
26266,0,5,2,3,1,4,706.83,176.71,13.0,0,0.6699096352803483,1
26933,0,5,3,3,1,7,693.58,99.08,206.71,0,0.5220456469467074,1
27532,0,5,3,3,1,8,683.63,85.45,174.88,0,0.5896026471662861,1
27666,0,5,2,3,1,5,680.95,136.19,31.6,0,0.5753891560253462,1
27806,0,5,3,3,1,7,678.52,96.93,152.43,0,0.5705639199273289,1
28228,0,5,2,3,1,5,671.72,134.34,226.0,0,0.5376121472979012,1
28455,0,5,3,3,1,6,667.45,111.24,45.33,0,0.5205168051891895,1
28920,0,5,1,3,1,3,659.97,219.99,310.33,0,0.5470017491448834,1
29264,0,5,2,3,1,5,655.0,131.0,52.6,0,0.5324778711407041,1
29719,0,5,3,3,1,6,648.94,108.16,210.17,0,0.6076518240868537,1
29720,0,5,3,3,1,8,648.93,81.12,44.75,0,0.5047297867412216,1
30134,0,5,2,3,1,4,642.97,160.74,349.75,0,0.555898097687868,1
30358,0,5,2,3,1,5,639.3,127.86,140.6,0,0.6058216198734356,1
30383,0,5,2,3,1,4,638.98,159.75,12.0,0,0.5244895771130931,1
30631,0,5,3,3,1,10,635.4,63.54,20.5,0,0.5865625570326506,1
30694,0,5,3,3,1,9,634.93,70.55,30.56,0,0.5392245740399243,1
30920,0,5,2,3,1,4,631.76,157.94,351.25,0,0.5239319654589434,1
31006,0,5,3,3,1,6,630.46,105.08,116.5,0,0.547605888489055,1
31903,0,5,2,3,1,4,617.96,154.49,334.75,0,0.6500297354084577,1
32722,0,5,3,3,1,10,606.91,60.69,44.5,0,0.6869638091344322,1
32895,0,5,2,3,1,5,604.55,120.91,52.6,0,0.5884977039363387,1
33333,0,5,3,3,1,8,598.95,74.87,69.88,0,0.6455233632676649,1
33434,0,5,3,3,1,6,597.46,99.58,122.33,0,0.5901977480701854,1
33704,0,5,3,3,1,6,594.06,99.01,191.5,0,0.5084103082233308,1
33908,0,5,2,3,1,4,591.96,147.99,103.75,0,0.5124384723316127,1
34127,0,5,3,3,1,10,589.05,58.91,49.4,0,0.5572193601640129,1
34475,0,5,3,3,1,6,584.95,97.49,61.33,0,0.587392783884427,1
34872,0,5,3,3,1,6,579.95,96.66,54.0,0,0.6267050099116624,1
34977,0,5,3,3,1,6,578.44,96.41,6.17,0,0.5729837395638218,1
35055,0,5,3,3,1,7,577.53,82.5,357.71,0,0.5317344052675783,1
35363,0,5,1,2,1,3,573.97,191.32,28.33,0,0.6361115284694975,1
35611,0,5,2,2,1,5,570.97,114.19,73.8,0,0.5131007552244161,1
35641,0,5,1,2,1,3,570.47,190.16,174.67,0,0.5488564567873789,1
36764,0,5,3,2,1,6,558.46,93.08,34.0,0,0.5475449865279616,1
36938,0,5,3,2,1,6,556.45,92.74,89.33,0,0.6425420378454665,1
36961,0,5,2,2,1,4,556.12,139.03,419.25,0,0.5753381676141975,1
37000,0,5,2,2,1,4,555.96,138.99,107.0,0,0.5422422688424469,1
37125,0,5,2,2,1,4,554.66,138.67,58.25,0,0.5948183859067053,1
37744,0,5,3,2,1,7,547.97,78.28,138.0,0,0.5998909091704135,1
38092,0,5,2,2,1,4,544.22,136.06,19.75,0,0.5072367813512105,1
38185,0,5,1,2,1,3,543.23,181.08,65.0,0,0.5253160511298813,1
38511,0,5,1,2,1,3,539.97,179.99,421.67,0,0.6458051609124823,1
38629,0,5,1,2,1,3,538.99,179.66,5.67,0,0.5003398096638395,1
38747,0,5,1,2,1,3,537.97,179.32,58.0,0,0.6645438718471105,1
38920,0,5,1,2,1,3,535.98,178.66,255.33,0,0.5386708193844981,1
38932,0,5,2,2,1,4,535.97,133.99,58.25,0,0.5800139787471952,1
39950,0,5,1,2,1,3,525.87,175.29,85.0,0,0.6388091692680078,1
40168,0,5,3,2,1,6,523.9,87.32,116.5,0,0.6053359401142122,1
40564,0,5,1,2,1,3,519.97,173.32,34.33,0,0.6219501200039596,1
40578,0,5,2,2,1,4,519.96,129.99,265.0,0,0.6943356328703151,1
40581,0,5,2,2,1,4,519.96,129.99,3.0,0,0.522578484976583,1
40812,0,5,2,2,1,4,517.48,129.37,266.75,0,0.709895725136321,1
40829,0,5,3,2,1,7,517.27,73.9,59.71,0,0.5636903449983681,1
40838,0,5,3,2,1,7,517.17,73.88,47.14,0,0.6034237540037157,1
40908,0,5,2,2,1,5,516.49,103.3,516.8,0,0.5735952275148954,1
41239,0,5,3,2,1,9,513.43,57.05,201.33,0,0.5009381984124327,1
41621,0,5,3,2,1,7,509.63,72.8,114.29,0,0.6243502283540439,1
42893,0,5,3,2,1,8,498.24,62.28,40.0,0,0.5604527388694089,1
43078,0,5,1,2,1,3,496.47,165.49,112.33,0,0.5338058109407275,1
43196,0,5,2,2,1,5,495.73,99.15,270.6,0,0.5089574742531143,1
43231,0,5,2,2,1,4,495.23,123.81,251.0,0,0.508913644340577,1
43962,0,5,2,2,1,4,488.99,122.25,172.25,0,0.5979536869669567,1
44609,0,5,3,2,1,7,483.59,69.08,45.0,0,0.5542146413735445,1
44694,0,5,1,2,1,3,482.97,160.99,19.33,0,0.5539358135893699,1
45385,0,5,2,2,1,5,477.38,95.48,109.4,0,0.5566544663733192,1
45719,0,5,2,2,1,4,474.96,118.74,4.25,0,0.5989976898991399,1
47213,0,5,3,2,1,6,462.97,77.16,84.67,0,0.6140348214819057,1
47302,0,5,2,2,1,4,462.07,115.52,108.25,0,0.5953640254480755,1
47626,0,5,2,2,1,5,459.97,91.99,105.6,0,0.5362091438693529,1
48219,0,5,1,2,1,3,455.97,151.99,109.0,0,0.6145826211376105,1
48736,0,5,2,2,1,4,451.92,112.98,53.5,0,0.6002006413425861,1
49229,0,5,3,2,1,8,448.42,56.05,44.75,0,0.5009108557279903,1
49592,0,5,3,2,1,6,445.95,74.33,31.5,0,0.520981802663034,1
49874,0,5,2,2,1,4,443.99,111.0,378.5,0,0.510655315216147,1
49976,0,5,3,2,1,7,443.21,63.32,102.86,0,0.6125363124811027,1
50340,0,5,1,2,1,3,440.78,146.93,68.67,0,0.575065213571118,1
50528,0,5,2,2,1,5,439.62,87.92,100.6,0,0.5639423162875007,1
51144,0,5,1,2,1,3,435.08,145.03,32.33,0,0.5342204360097432,1
51220,0,5,2,2,1,5,434.95,86.99,51.6,0,0.5527237054664762,1
52070,0,5,1,2,1,3,428.97,142.99,134.33,0,0.63850226378193,1
53434,0,5,2,2,1,4,419.96,104.99,102.0,0,0.6479407709361679,1
53571,0,5,1,2,1,2,418.98,209.49,101.5,0,0.5608094515865639,1
53605,0,5,2,2,1,5,418.95,83.79,21.4,0,0.5495868834329384,1
54886,0,5,2,2,1,5,410.36,82.07,104.0,0,0.6415868014764992,1
55273,0,5,2,2,1,4,408.18,102.05,121.5,0,0.5688738265817761,1
55376,0,5,2,2,1,4,407.88,101.97,66.5,0,0.5283975360957625,1
55442,0,5,2,2,1,4,407.06,101.77,69.25,0,0.6406068215741101,1
55928,0,5,3,2,1,8,404.26,50.53,180.25,0,0.5297763306775366,1
56397,0,5,1,2,1,3,401.37,133.79,226.33,0,0.5598739995883387,1
56909,0,5,2,2,1,4,398.47,99.62,87.75,0,0.5352414894066351,1
